,Unnamed: 0,y,z,alpha,R,Time Step,flow-time,Eloss,Ekin,max-skewness,TVPG,ven-vol,flow-av,flow-mv,WSS,wss-1,wss-2,wss-3,wss-4,wss-5,wss-6,wss-7,wss-8,wss-9,wss-10,wss-11,wss-12,wss-13,wss-14,wss-15,wss-16,wss-17,mv-pressure-drop
0,0,-6.975,52.575,7.875,4.1875,960.5,2.229157214999979,2.1433112924585687e-05,0.0010139212638127,0.8723744128954614,105.93452665488392,1.2174176780932807e-05,-1.6828462875756484e-05,1.4782215825684596e-05,3.4064862224209014,2.4387043437176987,11.873576908080423,12.484234137274736,2.624996958196045,4.003637505397752,3.516517174654416,1.7343584897143276,2.10586903384797,2.5065915805579864,2.086856096708884,1.7538706096411922,1.5364810983062256,4.797351065264019,6.396706341544356,4.822524453652235,3.48231012288448,4.09467101701958,573.897309095683
1,1,-6.925,50.725,2.875,4.4625,960.5,2.229157214999979,1.8379899032085568e-05,0.0009714001810235,0.8627530801873281,102.63647407258912,1.2167246140811337e-05,-1.7105706816021398e-05,1.4988411804009203e-05,3.3573386870154027,2.8511643547908863,11.43030664873936,12.130462968137994,2.6414204140066184,3.2798116293073827,3.505194015325124,1.7825888431588568,2.3590038285884654,2.7269685064643427,2.108555111677666,2.48197637338578,2.169314052568075,3.6835524106647095,5.576410853954331,4.635990523424927,3.678568218174833,3.002430410248768,576.1041755756818
2,2,-6.875,49.075,-7.625,3.3125,960.5,2.229157214999979,4.928913007070102e-05,0.0016720753070753,0.8703833688222596,150.63743833709992,1.1825144601010944e-05,-1.6046583749433457e-05,1.408041717345143e-05,6.026627438008978,3.9627783284873934,11.16020052508191,11.652350234326784,3.964258092291447,7.357569063886187,7.098414265337948,2.315415418132724,4.1241707424659015,4.914677339156836,2.7365017842343144,5.185612487856631,5.731806457649632,5.853625509858742,10.729236654515232,6.209026566810037,12.15021258754112,6.922214575683471,353.0768457998003
4,4,-6.775,51.875,-4.875,4.3625,960.5,2.229157214999979,2.4874655149373635e-05,0.0011032722008644,0.8657636658943321,89.22234317627853,1.2087886791650396e-05,-1.6860085549432773e-05,1.4893681534338543e-05,4.053180803978034,2.838821327419198,11.760123679755434,12.725148659844008,3.2677698504032646,5.871323873984091,5.443001097532188,2.038371902090621,2.7219719546847427,3.3544183929046203,2.27379933842376,2.9164229832029616,2.820126321293631,4.230058792886988,6.418811651372389,4.469993204386013,5.149495747967942,3.628085167116389,572.6024592448491
5,5,-6.725,51.575,-8.625,3.9125,960.5,2.229157214999979,3.694853478696972e-05,0.0013766259755762,0.8695615731427153,106.57301536354792,1.201210025873256e-05,-1.654122796587753e-05,1.4642621766265805e-05,5.145722118525322,3.363495097539304,12.282169872130623,12.432229683089972,3.316539468027524,8.156711662906641,8.04796667551911,2.131944879002197,2.8146033382062496,3.8560985914168655,2.7392475335008206,4.393748102610775,4.937850814334136,4.882152653153161,8.429363617550061,5.109030973183857,7.558237652077349,4.968041848349336,514.4211079309763
6,6,-6.675,52.625,6.625,3.6125,960.5,2.229157214999979,3.34169931830784e-05,0.0014215002381838,0.8743067369650145,132.32218445718584,1.205919546729792e-05,-1.637314389440223e-05,1.4378065222104368e-05,4.411118853297506,3.143985035779445,12.640429463553453,13.793072608464843,3.412251085791235,5.249820276367677,5.148270783319688,2.1024920164288123,2.8522799875652383,3.4468221198552764,2.837188288693457,2.422282731753286,2.0101929419173588,6.034019164266719,8.60154963776256,6.220547281353261,4.157902127534577,5.805457399585631,529.4362476738104
7,7,-6.625,52.825,-3.125,3.9375,960.5,2.229157214999979,3.156271287036989e-05,0.0013253401219947,0.9385608071144244,109.56914041264828,1.2119909289311291e-05,1.6571382168363922e-05,-1.461093504153061e-05,4.512242122362219,3.21723597689275,12.58938326279761,13.745174693718369,3.124278613199778,6.686076006246824,6.45077487076532,2.265915619043778,2.6886697237028847,3.588477229123776,2.4793814458891523,3.276168165302687,3.082401342439705,4.672836552948828,7.661947385505955,4.807799358864066,6.363789832378422,4.367789725107175,566.2776521742009
8,8,-6.575,51.825,3.625,4.3125,960.5,2.229157214999979,2.100732766589701e-05,0.0010239123391249,0.936301002867572,109.85935168397116,1.209264960518045e-05,1.6933854238643894e-05,-1.4868234514822088e-05,3.494680461347721,2.7505863781486317,11.91758560218852,12.446649953994047,2.7760714323198155,3.911961378263489,3.758452450311494,1.8639225721831456,2.176405323608439,2.619211763965548,2.001687133795226,1.955409857076417,1.699064679262336,4.934443185858526,6.316927325357582,4.601374530324994,3.5497270541461856,3.544617934085017,562.6904381892109
9,9,-6.525,50.025,4.125,3.4375,960.5,2.229157214999979,3.487144085192284e-05,0.0014126912969825,0.8624625132555366,159.5908826717286,1.1878977964795848e-05,-1.6325013852016312e-05,1.4324229718898548e-05,4.365880936237788,3.27315978440666,11.12340624225912,11.640768489037116,2.726815353265992,4.347463680134297,4.550912858395671,2.0280115009795137,2.339890989824704,3.064265580974191,2.547238361769469,2.573429435922429,2.2332529016529383,6.392228675456493,8.731146492122612,6.516360725810668,5.470753329553081,7.191292413381867,433.9531487573531
12,12,-6.375,51.475,-5.125,4.4375,960.5,2.229157214999979,2.1697070032449287e-05,0.0010515498612412,0.8971803938127165,70.99856081163152,1.209023460054276e-05,1.6971147385149028e-05,-1.4929060128007552e-05,3.767861490635689,2.927246071681197,11.594445778907213,12.428449100598556,2.8341313670761608,4.734265225420631,4.89038494029568,1.94808320356642,2.5186997701529137,3.1864911823864173,2.343866544285051,2.9378169828192005,3.1330633441215614,3.962631945163952,5.563106765698895,4.294151795191265,4.22959442003038,2.5092457996080646,570.3719775876309
